state,precipitation
Alabama,52.11
Alaska,38.97
Arizona,9.84
Arkansas,57.15
California,20.63
Colorado,17.6
Connecticut,63.19
Delaware,43.58
District of Columbia,28.75
Florida,43.66
Georgia,39.82
Hawaii,5.02
Idaho,25.23
Illinois,46.8
Indiana,57.11
Iowa,31.46
Kansas,23.78
Kentucky,65.98
Louisiana,42.96
Maine,51.25
Maryland,51
Massachusetts,60.49
Michigan,37.61
Minnesota,23.86
Mississippi,52.63
Missouri,45.98
Montana,22.31
Nebraska,25.04
Nevada,9.27
New Hampshire,58.14
New Jersey,63.42
New Mexico,10
New York,56.99
North Carolina,46.89
North Dakota,20.81
Ohio,57.86
Oklahoma,27.82
Oregon,33.35
Pennsylvania,62.46
Rhode Island,56.8
South Carolina,38.53
South Dakota,21.61
Tennessee,64.29
Texas,15.42
Utah,15.29
Vermont,58.88
Virginia,48.98
Washington,43.64
West Virginia,55.94
Wisconsin,31.15
Wyoming,18.46